State,code,Total Cases,Confirmed Cases,Probable Cases,Cases in Last 7 Days,Case Rate per 100000,Total Deaths,Confirmed Deaths,Probable Deaths,Deaths in Last 7 Days,Death Rate per 100000,7-Day Cases Rate per 100000,7-Day Death Rate per 100000,Total % Positive,% Positive Last 30 Days,% Positive Last 7 Days,# Tests per 100K,Total # Tests,# Tests per 100K Last 7 Days,Total # Tests Last 7 Days,# Tests per 100K Last 30 Days,Total # Tests Last 30 Days,New Cases,New Deaths
New York City,NYC,936499,772719,163780,4752,11150,32810,27716,5094,139,390,56.6,1.7,,,,null,null,null,null,null,null,0,0
Ohio,OH,1083609,909637,173972,8605,9270,19428,19428,0,144,166,73.6,1.2,6-10%,0-5%,0-5%,103560.32,12105269,1893.95,221386,8138.45,951312,794,0
Oklahoma,OK,450315,355244,95071,1443,11380,6877,5846,1031,40,173,36.5,1,21-30%,6-10%,0-5%,56942.19,2253186,507.41,20078,2317.76,91713,157,25
Oregon,OR,191405,191405,0,5061,4538,2530,2530,0,29,59,120,0.7,0-5%,0-5%,6-10%,81127.34,3421738,1899.31,80108,7958.84,335683,601,2
Pennsylvania,PA,1173664,986904,186760,16906,9168,26543,null,null,268,207,132.1,2.1,6-10%,6-10%,6-10%,108717.22,13917966,2279.89,291871,10355.63,1325726,1376,11
Rhode Island,RI,149577,0,0,941,14120,2687,null,null,9,253,88.8,0.9,0-5%,0-5%,0-5%,323493.31,3426962,7302.61,77361,35170.35,372581,0,0
South Carolina,SC,583062,484726,98336,2313,11324,9568,null,null,34,185,44.9,0.7,6-10%,0-5%,0-5%,117413.4,6045280,1681.18,86559,8194.73,421923,195,9
South Dakota,SD,123233,0,0,517,13930,1980,1609,371,13,223,58.4,1.5,11-20%,6-10%,6-10%,69436.02,614272,981.06,8679,4685.87,41454,0,0
Tennessee,TN,854136,704635,149501,5136,12507,12257,9847,2410,54,179,75.2,0.8,11-20%,6-10%,6-10%,100148.67,6839327,1046.51,71468,4774.57,326064,447,0
Texas,TX,2905110,0,0,15505,10019,49591,null,null,288,171,53.5,1,11-20%,0-5%,0-5%,86357.92,25040239,1301.65,377425,5746.42,1666225,1358,19
Utah,UT,400352,400352,0,2340,12488,2224,2159,65,20,69,73,0.6,11-20%,0-5%,0-5%,124297.23,3984917,1661.34,53262,7295.98,233906,232,1
Virginia,VA,666986,519310,147676,5061,7814,10902,9192,1710,95,127,59.3,1.1,11-20%,6-10%,0-5%,90470.59,7722134,1346.83,114959,6456.62,551106,336,7
Vermont,VT,23486,0,0,360,3764,249,null,null,2,39,57.7,0.3,0-5%,0-5%,0-5%,266484.02,1662831,7535.87,47023,35912.65,224091,41,0
Washington,WA,415131,0,0,9182,5452,5564,null,null,65,73,120.6,0.9,0-5%,0-5%,0-5%,70192.96,5345119,2112.64,160875,8904.08,678036,1151,0
Wisconsin,WI,666180,603098,63082,4495,11442,7652,6904,748,85,131,77.2,1.5,6-10%,0-5%,0-5%,156205.79,9094979,2382.63,138727,10694.5,622680,338,0
West Virginia,WV,156406,122707,33699,2488,8727,2726,null,null,40,152,138.8,2.2,6-10%,6-10%,6-10%,148080.21,2653815,2170.92,38906,9568.91,171489,405,0
Wyoming,WY,58623,49477,9146,383,10129,710,710,0,3,122,66.2,0.5,6-10%,0-5%,0-5%,131502.4,761082,1582.52,9159,6530.01,37793,0,0
